Yusuf Lewis Electrical-Engineering Digital-Logic 51
Yusuf Rodriguez Architecture Sustainability 51
Yusuf Moore Mechanical-Engineering Dynamics 52
Yusuf White Mechanical-Engineering Machine-Design 52
Yusuf Harris Electrical-Engineering Microprocessors 53
Yusuf Rodriguez Civil-Engineering Soil-Mechanics 54
Yusuf Lee Computer-Science Algorithms 55
Yusuf Garcia Mechanical-Engineering Thermodynamics 56
Yusuf Harris Electrical-Engineering Control-Systems 57
Yusuf Taylor Mechanical-Engineering Thermodynamics 61
Yusuf Miller Electrical-Engineering Circuit-Analysis 62
Yusuf White Computer-Science Database-Systems 62
Yusuf Moore Mechanical-Engineering Statics 63
Yusuf Taylor Electrical-Engineering Control-Systems 63
Yusuf White Mechanical-Engineering Materials-Science 65
Yusuf Williams Computer-Science Database-Systems 68
Yusuf Miller Mechanical-Engineering Statics 69
Yusuf Jackson Architecture Sustainability 71
Yusuf Martin Mechanical-Engineering Dynamics 73
Yusuf Martin Architecture Sustainability 74
Yusuf Anderson Electrical-Engineering Power-Systems 79
Yusuf Smith Electrical-Engineering Microprocessors 80
Yusuf Williams Electrical-Engineering Power-Systems 87
Yusuf Williams Architecture History-of-Architecture 90
Yusuf Jones Mechanical-Engineering Dynamics 91
Yusuf White Architecture Sustainability 91
Yusuf Brown Electrical-Engineering Control-Systems 94
Yusuf Harris Mechanical-Engineering Thermodynamics 94
Yusuf Wilson Civil-Engineering Transportation-Eng 94
Yusuf White Electrical-Engineering Microprocessors 95
Yusuf Lee Mechanical-Engineering Machine-Design 96
Yusuf White Civil-Engineering Transportation-Eng 96
Yusuf Wilson Electrical-Engineering Control-Systems 96
Yusuf Brown Computer-Science Algorithms 99
Yusuf Davis Electrical-Engineering Circuit-Analysis 99
